-1.000000000000000000e+01,3.088316946211683154e+08
-9.000000000000000000e+00,3.088316946211683154e+08
-8.000000000000000000e+00,3.088316946211682558e+08
-7.000000000000000000e+00,3.088316946211683154e+08
-6.000000000000000000e+00,3.088316946211683154e+08
-5.000000000000000000e+00,3.088316946211683154e+08
-4.000000000000000000e+00,3.088316946211683154e+08
-3.000000000000000000e+00,3.088316946211683154e+08
-2.000000000000000000e+00,3.088316946211682558e+08
-1.000000000000000000e+00,3.088316946211683154e+08
0.000000000000000000e+00,3.088316946211683154e+08
1.000000000000000000e+00,3.088316946211682558e+08
2.000000000000000000e+00,3.088316946211683154e+08
3.000000000000000000e+00,3.088316946211683154e+08
4.000000000000000000e+00,3.088316946211682558e+08
5.000000000000000000e+00,3.088316946211683154e+08
6.000000000000000000e+00,3.088316946211683154e+08
7.000000000000000000e+00,3.088316946211682558e+08
8.000000000000000000e+00,3.088316946211683154e+08
9.000000000000000000e+00,3.088316946211683154e+08
1.000000000000000000e+01,3.088316946211683154e+08
